City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kahului,US,2022-03-01 19:06:58,20.8947,-156.47,79.86,78,20,5.01
1,Culebra,PR,2022-03-01 19:06:58,18.303,-65.301,87.67,76,1,13.02
2,Arraial Do Cabo,BR,2022-03-01 19:06:59,-22.9661,-42.0278,87.66,55,0,18.41
3,Busselton,AU,2022-03-01 19:06:59,-33.65,115.3333,59.04,86,81,11.68
4,Rikitea,PF,2022-03-01 19:06:59,-23.1203,-134.9692,78.66,72,94,7.02
5,Veisiejai,LT,2022-03-01 19:07:00,54.1,23.7,29.62,64,0,4.43
6,Nabire,ID,2022-03-01 19:07:00,-3.3667,135.4833,76.17,91,100,2.33
7,Sao Filipe,CV,2022-03-01 19:07:01,14.8961,-24.4956,71.22,63,2,20.13
8,Mar Del Plata,AR,2022-03-01 19:02:03,-38.0023,-57.5575,78.87,47,11,15.99
9,Pevek,RU,2022-03-01 19:07:09,69.7008,170.3133,-13.65,100,95,4.05
10,Punta Arenas,CL,2022-03-01 19:06:58,-53.15,-70.9167,48.31,81,75,31.07
11,Kapaa,US,2022-03-01 19:07:10,22.0752,-159.319,75.18,79,20,10.36
12,Port Alfred,ZA,2022-03-01 19:07:10,-33.5906,26.891,75.47,90,70,19.06
13,Arona,ES,2022-03-01 19:07:11,28.0996,-16.681,61.99,63,20,21.85
14,Hilo,US,2022-03-01 19:04:15,19.7297,-155.09,78.53,60,0,5.01
15,Klaksvik,FO,2022-03-01 19:07:12,62.2266,-6.589,43.72,80,40,25.93
16,Paita,PE,2022-03-01 19:07:12,-5.0892,-81.1144,88.36,63,90,14.05
17,Ulaanbaatar,MN,2022-03-01 19:05:52,47.9077,106.8832,-3.87,71,0,2.24
18,Cooma,AU,2022-03-01 19:07:13,-36.2333,149.1333,58.77,100,100,5.75
19,Kamenka,RU,2022-03-01 19:07:14,51.3223,42.7678,32.76,96,100,8.14
20,Port Elizabeth,ZA,2022-03-01 19:07:14,-33.918,25.5701,70.11,94,75,17.27
21,Jipapad,PH,2022-03-01 19:07:14,12.2861,125.2353,75.22,96,81,4.34
22,Meulaboh,ID,2022-03-01 19:07:15,4.1363,96.1285,75.29,91,96,3.96
23,Gladstone,AU,2022-03-01 19:05:10,-23.85,151.25,80.53,83,100,6.91
24,Vanimo,PG,2022-03-01 19:07:16,-2.6741,141.3028,76.23,87,100,3.06
25,Namatanai,PG,2022-03-01 19:07:16,-3.6667,152.4333,78.49,84,100,4.52
26,Husavik,IS,2022-03-01 19:07:17,66.0449,-17.3389,26.33,81,72,10.11
27,Chuy,UY,2022-03-01 19:07:17,-33.6971,-53.4616,74.95,39,0,4.47
28,Kaitangata,NZ,2022-03-01 19:07:18,-46.2817,169.8464,51.93,77,15,3.09
29,Saint-Marc-Des-Carrieres,CA,2022-03-01 19:07:18,46.6834,-72.0491,19.15,92,100,7.67
30,Ust-Nera,RU,2022-03-01 19:07:19,64.5667,143.2,-22.0,100,100,2.82
31,Albany,US,2022-03-01 19:05:32,42.6001,-73.9662,38.62,56,100,3.0
32,Mount Gambier,AU,2022-03-01 19:07:20,-37.8333,140.7667,60.71,100,100,5.75
33,Bluff,NZ,2022-03-01 19:07:21,-46.6,168.3333,44.8,73,6,9.84
34,Ushuaia,AR,2022-03-01 19:07:21,-54.8,-68.3,46.02,89,100,5.37
35,New Norfolk,AU,2022-03-01 19:07:21,-42.7826,147.0587,60.66,79,99,2.24
36,Siavonga,ZM,2022-03-01 19:07:22,-16.5382,28.7088,78.35,69,33,4.88
37,Parrita,CR,2022-03-01 19:07:22,9.5201,-84.3225,97.25,56,0,9.13
38,Tiksi,RU,2022-03-01 19:07:23,71.6872,128.8694,-21.53,100,98,3.49
39,Moses Lake,US,2022-03-01 19:03:42,47.1301,-119.2781,62.62,62,0,6.91
40,Itarema,BR,2022-03-01 19:07:23,-2.9248,-39.9167,84.6,66,99,16.44
41,Hobart,AU,2022-03-01 19:07:24,-42.8794,147.3294,61.02,91,100,5.75
42,Hithadhoo,MV,2022-03-01 19:06:30,-0.6,73.0833,84.9,64,17,15.97
43,Butaritari,KI,2022-03-01 19:07:24,3.0707,172.7902,80.35,80,34,8.7
44,Hermanus,ZA,2022-03-01 19:07:25,-34.4187,19.2345,69.8,82,1,4.5
45,Tuktoyaktuk,CA,2022-03-01 19:07:25,69.4541,-133.0374,-8.48,75,0,15.84
46,Brandon,US,2022-03-01 19:07:40,27.9378,-82.2859,79.25,63,75,5.75
47,Jamestown,US,2022-03-01 19:07:47,42.097,-79.2353,49.51,33,20,18.41
48,Barrow,US,2022-03-01 19:08:26,71.2906,-156.7887,12.22,85,100,8.05
49,Mataura,NZ,2022-03-01 19:08:27,-46.1927,168.8643,44.47,98,13,2.24
50,Torbay,CA,2022-03-01 19:05:34,47.6666,-52.7314,22.87,55,77,8.99
51,Vaini,TO,2022-03-01 19:08:27,-21.2,-175.2,78.96,94,75,9.22
52,Haines Junction,CA,2022-03-01 19:08:28,60.7522,-137.5108,18.81,93,100,1.86
53,Chokurdakh,RU,2022-03-01 19:08:28,70.6333,147.9167,-6.75,98,100,7.49
54,Clyde River,CA,2022-03-01 19:07:30,70.4692,-68.5914,-5.96,81,0,4.25
55,Warragul,AU,2022-03-01 19:08:29,-38.1667,145.9333,68.25,84,95,8.99
56,Najran,SA,2022-03-01 19:06:39,17.4924,44.1277,67.55,42,5,5.61
57,Carnarvon,AU,2022-03-01 19:08:31,-24.8667,113.6333,73.47,64,40,21.85
58,Hasaki,JP,2022-03-01 19:08:31,35.7333,140.8333,46.8,65,92,19.15
59,Oristano,IT,2022-03-01 19:09:39,39.9,8.6,42.06,57,0,4.43
60,Hailar,CN,2022-03-01 19:09:39,49.2,119.7,9.73,94,85,11.45
61,Walvis Bay,NA,2022-03-01 19:09:40,-22.9575,14.5053,63.09,69,0,19.26
62,Constitucion,CL,2022-03-01 19:09:40,-35.3333,-72.4167,71.56,50,2,19.71
63,Williston,US,2022-03-01 19:06:01,48.147,-103.618,36.01,83,100,3.0
64,Henties Bay,NA,2022-03-01 19:09:41,-22.116,14.2845,62.85,81,0,10.65
65,Longyearbyen,SJ,2022-03-01 19:09:41,78.2186,15.6401,10.24,56,0,23.02
66,Rawson,AR,2022-03-01 19:09:42,-43.3002,-65.1023,80.38,24,5,22.79
67,Cape Town,ZA,2022-03-01 19:09:42,-33.9258,18.4232,69.12,92,0,8.12
68,Ponta Do Sol,PT,2022-03-01 19:09:43,32.6667,-17.1,67.01,78,94,3.09
69,Hambantota,LK,2022-03-01 19:09:43,6.1241,81.1185,77.34,88,20,6.91
70,Hobyo,SO,2022-03-01 19:09:43,5.3505,48.5268,78.49,80,46,18.54
71,Puerto Ayora,EC,2022-03-01 19:09:44,-0.7393,-90.3518,84.16,84,77,7.0
72,Ambon,ID,2022-03-01 19:09:44,-3.6954,128.1814,75.34,94,20,3.44
73,Borba,BR,2022-03-01 19:09:46,-4.3878,-59.5939,84.54,76,82,1.39
74,Kruisfontein,ZA,2022-03-01 19:09:46,-34.0033,24.7314,67.89,97,35,7.96
75,Bredasdorp,ZA,2022-03-01 19:09:47,-34.5322,20.0403,69.28,77,61,4.25
76,Pochutla,MX,2022-03-01 19:09:47,15.7432,-96.4661,88.83,42,0,10.4
77,Loa Janan,ID,2022-03-01 19:09:48,-0.583,117.095,73.38,99,31,2.44
78,Kodiak,US,2022-03-01 19:09:48,57.79,-152.4072,33.31,80,100,4.61
79,Acapulco,MX,2022-03-01 19:09:18,16.8634,-99.8901,84.02,65,0,11.5
80,George Town,MY,2022-03-01 19:09:49,5.4112,100.3354,80.53,83,20,0.0
81,Lavrentiya,RU,2022-03-01 19:09:51,65.5833,-171.0,11.48,100,98,3.94
82,Bacolod,PH,2022-03-01 19:09:51,10.6667,122.95,76.5,86,100,11.05
83,Yellowknife,CA,2022-03-01 19:09:52,62.456,-114.3525,-6.59,80,8,5.95
84,Port Keats,AU,2022-03-01 19:09:52,-14.25,129.55,79.56,86,100,7.23
85,Georgetown,MY,2022-03-01 19:08:08,5.4112,100.3354,80.53,83,20,0.0
86,Ouagadougou,BF,2022-03-01 19:09:54,12.3642,-1.5383,89.37,37,61,7.74
87,Padang,ID,2022-03-01 19:09:55,-0.9492,100.3543,77.34,86,100,2.93
88,Miracema Do Tocantins,BR,2022-03-01 19:09:55,-9.5618,-48.3967,86.25,64,73,3.13
89,Airai,TL,2022-03-01 19:10:56,-8.9266,125.4092,60.04,85,53,2.13
90,Savannah Bight,HN,2022-03-01 19:10:57,16.45,-85.85,77.05,70,88,6.78
91,Imbituba,BR,2022-03-01 19:10:57,-28.24,-48.6703,78.69,90,100,9.13
92,Ahvaz,IR,2022-03-01 19:10:57,31.3203,48.6693,58.95,55,0,2.3
93,San Jose,US,2022-03-01 19:07:30,37.3394,-121.895,71.76,48,75,10.36
94,Laguna,US,2022-03-01 19:10:58,38.421,-121.4238,74.44,46,0,6.91
95,Honningsvag,NO,2022-03-01 19:10:58,70.9821,25.9704,33.33,78,100,25.7
96,Tasiilaq,GL,2022-03-01 19:10:59,65.6145,-37.6368,26.76,72,100,9.75
97,Victoria,HK,2022-03-01 19:09:44,22.2855,114.1577,74.08,88,98,3.38
98,Hinton,CA,2022-03-01 19:10:59,53.4001,-117.5857,44.11,89,89,1.59
99,Buraydah,SA,2022-03-01 19:11:00,26.326,43.975,71.76,24,0,13.8
100,Margate,GB,2022-03-01 19:11:01,51.3813,1.3862,46.96,94,100,1.01
101,Iqaluit,CA,2022-03-01 19:11:01,63.7506,-68.5145,-13.31,69,65,18.99
102,Rupert,US,2022-03-01 19:11:01,42.6191,-113.6772,51.75,46,0,5.75
103,Sungaipenuh,ID,2022-03-01 19:11:02,-2.0833,101.3833,64.65,96,100,0.96
104,Lorengau,PG,2022-03-01 19:11:02,-2.0226,147.2712,79.72,81,100,5.91
105,Shimoda,JP,2022-03-01 19:11:03,34.6667,138.95,46.11,77,5,10.69
106,Avarua,CK,2022-03-01 19:11:03,-21.2078,-159.775,78.85,89,40,5.75
107,Gannan,CN,2022-03-01 19:11:04,47.9147,123.5031,11.48,89,94,4.97
108,Atuona,PF,2022-03-01 19:11:04,-9.8,-139.0333,78.42,71,4,20.38
109,Moose Factory,CA,2022-03-01 19:11:05,51.2585,-80.6094,17.31,84,100,7.76
110,Saint Anthony,US,2022-03-01 19:11:05,45.0205,-93.218,37.72,57,20,6.91
111,Nikolskoye,RU,2022-03-01 19:11:06,59.7035,30.7861,35.49,89,12,6.31
112,Sovetskiy,RU,2022-03-01 19:11:06,61.3614,63.5842,12.6,93,9,6.87
113,Half Moon Bay,US,2022-03-01 19:11:08,37.4636,-122.4286,71.8,68,0,13.8
114,Mnogovershinnyy,RU,2022-03-01 19:11:08,53.9353,139.9242,-8.07,99,99,2.95
115,Ladario,BR,2022-03-01 19:11:09,-19.0047,-57.6017,95.29,52,40,5.75
116,Oksfjord,NO,2022-03-01 19:11:09,70.2396,22.3479,39.38,92,100,10.49
117,Yangjiang,CN,2022-03-01 19:11:10,21.85,111.9667,67.64,86,100,2.06
118,Mataram,ID,2022-03-01 19:11:10,-8.5833,116.1167,77.81,90,100,2.59
119,Gasa,PS,2022-03-01 19:06:43,31.5,34.4667,60.91,71,100,8.08
120,Faanui,PF,2022-03-01 19:11:11,-16.4833,-151.75,81.54,75,53,16.62
121,Severo-Kurilsk,RU,2022-03-01 19:11:11,50.6789,156.125,19.87,59,99,10.98
122,Saint George,US,2022-03-01 19:09:12,37.1041,-113.5841,70.27,25,0,0.0
123,Samana,DO,2022-03-01 19:11:12,19.2056,-69.3369,89.82,66,20,6.91
124,Jiuquan,CN,2022-03-01 19:11:13,39.7432,98.5174,30.76,42,0,2.93
125,Mana,GF,2022-03-01 19:11:13,5.6592,-53.7767,80.2,80,99,9.48
126,Dingle,PH,2022-03-01 19:11:13,10.9995,122.6711,74.79,92,100,8.88
127,Santa Maria,BR,2022-03-01 19:11:14,-29.6842,-53.8069,90.77,32,25,8.19
128,Lagoa,PT,2022-03-01 19:11:15,39.05,-27.9833,61.72,83,100,30.42
129,Grenfell,AU,2022-03-01 19:11:15,-33.9,148.1667,65.71,73,100,15.82
130,Ancud,CL,2022-03-01 19:11:15,-41.8697,-73.8203,68.43,79,76,13.18
131,Emerald,AU,2022-03-01 19:11:16,-23.5333,148.1667,77.34,76,51,9.24
132,Nelson Bay,AU,2022-03-01 19:11:17,-32.7167,152.15,70.0,96,100,1.01
133,Leningradskiy,RU,2022-03-01 19:11:17,69.3833,178.4167,7.5,80,67,7.58
134,Bonthe,SL,2022-03-01 19:11:18,7.5264,-12.505,79.93,68,0,10.09
135,Greencastle,US,2022-03-01 19:11:19,39.6445,-86.8647,64.69,35,0,14.97
136,Saint-Philippe,RE,2022-03-01 19:12:19,-21.3585,55.7679,78.39,87,56,10.42
137,Sur,OM,2022-03-01 19:12:20,22.5667,59.5289,76.46,70,35,1.5
138,Sitka,US,2022-03-01 19:12:20,57.0531,-135.33,40.89,87,75,0.0
139,Vardo,NO,2022-03-01 19:12:21,70.3705,31.1107,31.75,100,100,13.8
140,Hearst,CA,2022-03-01 19:12:21,49.6835,-83.6665,19.69,82,100,9.37
141,Camacha,PT,2022-03-01 19:12:22,33.0833,-16.3333,63.54,77,20,16.11
142,Vila Velha,BR,2022-03-01 19:12:23,-20.3297,-40.2925,85.95,74,0,16.11
143,Mezhdurechensk,RU,2022-03-01 19:12:23,53.6942,88.0603,17.47,80,100,5.73
144,Olinda,BR,2022-03-01 19:12:17,-8.0089,-34.8553,85.73,62,40,11.5
145,Nantucket,US,2022-03-01 19:10:50,41.2835,-70.0995,39.34,60,100,16.11
146,Camana,PE,2022-03-01 19:12:24,-16.6228,-72.7111,74.53,77,100,7.36
147,Willmar,US,2022-03-01 19:12:24,45.1219,-95.0433,33.49,74,75,0.0
148,Srednekolymsk,RU,2022-03-01 19:12:25,67.45,153.6833,-8.41,99,96,7.36
149,Honolulu,US,2022-03-01 19:10:59,21.3069,-157.8583,78.57,73,40,5.75
150,Cabedelo,BR,2022-03-01 19:12:25,-6.9811,-34.8339,86.67,65,32,14.63
151,Belyy Yar,RU,2022-03-01 19:12:26,53.6039,91.3903,30.09,63,0,15.66
152,Martinsburg,US,2022-03-01 19:12:26,39.4562,-77.9639,61.41,42,0,11.5
153,Isangel,VU,2022-03-01 19:07:47,-19.55,169.2667,80.55,88,81,23.11
154,Upernavik,GL,2022-03-01 19:12:27,72.7868,-56.1549,-7.65,84,100,5.17
155,Salalah,OM,2022-03-01 19:12:27,17.0151,54.0924,75.29,78,0,1.14
156,Worthington,US,2022-03-01 19:12:28,40.0931,-83.018,60.55,45,40,14.97
157,Quatre Cocos,MU,2022-03-01 19:12:28,-20.2078,57.7625,81.09,87,69,10.8
158,Kayerkan,RU,2022-03-01 19:12:29,69.3497,87.7602,0.52,84,100,8.05
159,Pisco,PE,2022-03-01 19:12:29,-13.7,-76.2167,78.03,73,0,8.05
160,Sal Rei,CV,2022-03-01 19:12:30,16.1833,-22.9167,71.8,60,75,21.85
161,Lewiston,US,2022-03-01 19:12:30,44.1003,-70.2148,31.24,51,100,11.5
162,Touros,BR,2022-03-01 19:12:30,-5.1989,-35.4608,88.7,64,6,16.04
163,Castro,BR,2022-03-01 19:12:31,-24.7911,-50.0119,71.1,92,100,5.41
164,Vao,NC,2022-03-01 19:12:31,-22.6667,167.4833,79.5,89,100,19.98
165,Zhigansk,RU,2022-03-01 19:12:32,66.7697,123.3711,-26.0,100,100,3.13
166,Kuusamo,FI,2022-03-01 19:12:32,65.9667,29.1833,32.04,80,75,18.41
167,San Julian,MX,2022-03-01 19:12:32,21.0167,-102.1667,75.2,21,0,2.21
168,Fairfield,US,2022-03-01 19:11:36,41.2668,-73.3162,43.9,61,75,14.97
169,Gloucester,GB,2022-03-01 19:11:28,51.8657,-2.2431,46.65,83,100,10.36
170,Strezhevoy,RU,2022-03-01 19:12:33,60.7333,77.5889,17.58,88,100,17.87
171,Portland,US,2022-03-01 19:09:07,45.5234,-122.6762,58.6,92,100,11.99
172,Eureka,US,2022-03-01 19:12:34,40.8021,-124.1637,67.17,78,100,1.99
173,San Ramon,US,2022-03-01 19:12:34,37.7799,-121.978,70.3,45,0,4.61
174,Dunedin,NZ,2022-03-01 19:12:15,-45.8742,170.5036,52.81,68,73,7.0
175,Verkhoyansk,RU,2022-03-01 19:12:35,67.5447,133.385,-30.55,100,96,1.19
176,Fairbanks,US,2022-03-01 19:08:30,64.8378,-147.7164,18.91,85,100,0.0
177,Zlobin,HR,2022-03-01 19:12:36,45.2924,14.6541,34.9,55,0,10.36
178,Moron,AR,2022-03-01 19:12:36,-34.6534,-58.6198,79.95,49,0,7.99
179,Sisimiut,GL,2022-03-01 19:12:37,66.9395,-53.6735,-1.61,93,14,0.74
180,Sao Joao Da Barra,BR,2022-03-01 19:12:37,-21.6403,-41.0511,87.89,78,0,15.57
181,Goderich,CA,2022-03-01 19:12:38,43.7501,-81.7165,37.2,92,100,13.09
182,Lakes Entrance,AU,2022-03-01 19:12:38,-37.8811,147.981,66.16,89,93,12.71
183,Christchurch,NZ,2022-03-01 19:10:55,-43.5333,172.6333,55.0,82,100,8.05
184,Karlstad,SE,2022-03-01 19:13:39,59.3793,13.5036,36.16,93,40,9.22
185,Whyalla,AU,2022-03-01 19:13:39,-33.0333,137.5833,67.89,83,0,6.91
186,Qaanaaq,GL,2022-03-01 19:13:40,77.484,-69.3632,7.12,59,9,12.26
187,Verkhnyaya Inta,RU,2022-03-01 19:13:40,65.9811,60.3094,12.58,96,99,13.67
188,Uray,RU,2022-03-01 19:13:40,60.1247,64.7758,13.19,92,7,8.01
189,San Quintin,MX,2022-03-01 19:13:41,30.4833,-115.95,68.58,35,12,5.75
190,Raudeberg,NO,2022-03-01 19:13:41,61.9875,5.1352,42.4,88,100,27.96
191,Lyskovo,RU,2022-03-01 19:13:42,56.0328,45.0422,25.05,96,96,2.93
192,Saskylakh,RU,2022-03-01 19:13:42,71.9167,114.0833,-34.96,100,64,4.21
193,Karasuk,RU,2022-03-01 19:13:43,53.7377,78.0403,25.07,93,100,13.62
194,Bathsheba,BB,2022-03-01 19:13:43,13.2167,-59.5167,84.81,65,20,19.57
195,Port-Cartier,CA,2022-03-01 19:13:44,50.0334,-66.8654,13.75,78,98,5.28
196,Bethel,US,2022-03-01 19:13:44,41.3712,-73.414,43.74,59,75,14.97
197,Wewak,PG,2022-03-01 19:13:45,-3.5534,143.6268,77.32,85,100,5.17
198,Gillette,US,2022-03-01 19:13:45,44.2911,-105.5022,62.11,33,40,9.22
199,Grand Gaube,MU,2022-03-01 19:13:46,-20.0064,57.6608,81.37,81,44,5.99
200,Mahebourg,MU,2022-03-01 19:13:46,-20.4081,57.7,81.25,83,75,11.5
201,Alta Floresta,BR,2022-03-01 19:13:47,-9.8756,-56.0861,84.4,71,98,1.03
202,Opuwo,NA,2022-03-01 19:13:47,-18.0607,13.84,72.48,72,100,3.15
203,Zhezkazgan,KZ,2022-03-01 19:13:48,47.8043,67.7144,6.78,86,6,6.6
204,Sept-Iles,CA,2022-03-01 19:12:40,50.2001,-66.3821,14.05,59,73,7.0
205,Mvuma,ZW,2022-03-01 19:13:48,-19.2792,30.5283,71.11,48,58,9.51
206,Thompson,CA,2022-03-01 19:12:35,55.7435,-97.8558,2.46,82,100,8.72
207,Bubaque,GW,2022-03-01 19:13:49,11.2833,-15.8333,75.79,70,0,20.58
208,Dikson,RU,2022-03-01 19:13:49,73.5069,80.5464,-13.79,99,100,8.21
209,Tigil,RU,2022-03-01 19:13:50,57.8,158.6667,3.13,98,100,3.98
210,Luderitz,NA,2022-03-01 19:13:50,-26.6481,15.1594,67.91,72,0,15.97
211,Roma,US,2022-03-01 19:12:21,43.2128,-75.4557,43.12,61,100,8.05
212,La Palma,US,2022-03-01 19:13:51,33.8464,-118.0467,88.99,23,0,1.99
213,Gat,IL,2022-03-01 19:13:51,31.61,34.7642,59.81,100,99,7.25
214,Aleksandrov Gay,RU,2022-03-01 19:13:52,50.147,48.5704,22.95,95,50,7.07
215,Hengshui,CN,2022-03-01 19:11:24,37.7322,115.7011,36.75,39,0,7.36
216,Citluk,BA,2022-03-01 19:13:53,43.2286,17.7008,34.16,69,63,6.76
217,Yuzhno-Kurilsk,RU,2022-03-01 19:13:53,44.0306,145.8556,19.94,80,3,4.97
218,Halapitan,PH,2022-03-01 19:13:53,7.9175,125.33,70.86,96,70,2.39
219,Port Blair,IN,2022-03-01 19:13:54,11.6667,92.75,77.04,94,40,0.0
220,Qaqortoq,GL,2022-03-01 19:13:54,60.7167,-46.0333,27.1,44,100,25.61
221,Bilma,NE,2022-03-01 19:13:55,18.6853,12.9164,78.64,7,0,6.51
222,Gloversville,US,2022-03-01 19:13:55,43.0528,-74.3438,35.56,75,100,4.68
223,Mogocha,RU,2022-03-01 19:13:56,53.7333,119.7667,-1.05,95,100,3.58
224,Barjora,IN,2022-03-01 19:13:56,23.4333,87.2833,73.22,44,2,1.34
225,Oranjemund,NA,2022-03-01 19:13:57,-28.55,16.4333,67.44,78,0,6.44
226,Broome,US,2022-03-01 19:13:57,42.2506,-75.833,43.63,64,100,9.22
227,Itacare,BR,2022-03-01 19:13:58,-14.2775,-38.9967,81.97,63,100,7.81
228,Karpathos,GR,2022-03-01 19:13:58,35.507,27.2132,53.56,87,100,4.61
229,Trincomalee,LK,2022-03-01 19:13:59,8.5711,81.2335,80.96,66,97,17.78
230,Lahij,YE,2022-03-01 19:13:59,13.1667,44.5833,73.62,71,25,5.26
231,Souillac,MU,2022-03-01 19:14:59,-20.5167,57.5167,81.36,83,75,11.5
232,Cherskiy,RU,2022-03-01 19:15:00,68.75,161.3,-16.82,100,96,7.18
233,Blagoyevo,RU,2022-03-01 19:15:01,63.3667,47.9167,28.58,93,100,7.18
234,College,US,2022-03-01 19:15:01,64.8569,-147.8028,18.9,85,100,0.0
235,Kribi,CM,2022-03-01 19:15:02,2.95,9.9167,81.9,81,100,11.74
236,Swellendam,ZA,2022-03-01 19:15:02,-34.0226,20.4417,68.38,77,89,5.64
237,Markova,UA,2022-03-01 19:15:03,48.6758,24.4138,25.29,96,100,2.68
238,Narsaq,GL,2022-03-01 19:15:04,60.9167,-46.05,26.82,44,100,31.09
239,Sechura,PE,2022-03-01 19:15:04,-5.5569,-80.8222,84.78,53,79,15.68
240,San Rafael Del Sur,NI,2022-03-01 19:15:05,11.8485,-86.4384,88.77,33,0,13.73
241,Auki,SB,2022-03-01 19:15:05,-8.7676,160.7034,77.49,86,69,3.96
242,East London,ZA,2022-03-01 19:15:06,-33.0153,27.9116,76.96,84,100,20.04
243,Naryan-Mar,RU,2022-03-01 19:15:06,67.6713,53.087,10.6,95,100,7.72
244,Provideniya,RU,2022-03-01 19:15:06,64.3833,-173.3,16.68,96,80,7.96
245,Nouadhibou,MR,2022-03-01 19:15:07,20.931,-17.0347,67.98,77,0,21.85
246,La Ronge,CA,2022-03-01 19:15:08,55.1001,-105.2842,8.85,52,75,2.3
247,Ixtapa,MX,2022-03-01 19:15:08,20.7,-105.2,79.83,61,0,5.75
248,Anadyr,RU,2022-03-01 19:15:09,64.75,177.4833,21.7,92,40,17.9
249,Ilulissat,GL,2022-03-01 19:15:09,69.2167,-51.1,23.02,33,75,19.57
250,Port Macquarie,AU,2022-03-01 19:14:55,-31.4333,152.9167,69.69,100,75,3.44
251,Adrar,MR,2022-03-01 19:15:10,20.5022,-10.0711,73.72,19,0,4.29
252,Guye,CN,2022-03-01 19:15:10,39.7333,118.4167,34.16,40,0,7.85
253,Kainantu,PG,2022-03-01 19:15:11,-6.2887,145.8655,60.96,99,100,1.66
254,Komsomolskiy,UZ,2022-03-01 19:15:12,40.4272,71.7189,48.92,66,75,4.61
255,Kununurra,AU,2022-03-01 19:15:12,-15.7667,128.7333,76.98,94,100,0.0
256,Sonoita,MX,2022-03-01 19:15:13,31.85,-112.8333,72.54,13,36,2.39
257,Grindavik,IS,2022-03-01 19:15:13,63.8424,-22.4338,32.47,69,0,9.22
258,Fortuna,US,2022-03-01 19:15:13,40.5982,-124.1573,63.52,67,100,9.22
259,Cayenne,GF,2022-03-01 19:15:14,4.9333,-52.3333,80.64,89,75,10.36
260,Oskarshamn,SE,2022-03-01 19:15:14,57.2645,16.4484,34.81,76,100,8.41
261,Xining,CN,2022-03-01 19:10:58,36.6167,101.7667,25.63,54,0,2.42
262,Bonavista,CA,2022-03-01 19:15:15,48.6499,-53.1147,21.11,52,100,19.1
263,Hofn,IS,2022-03-01 19:15:16,64.2539,-15.2082,31.37,60,0,13.98
264,Byron Bay,AU,2022-03-01 19:15:16,-28.65,153.6167,71.55,93,38,7.2
265,Poum,NC,2022-03-01 19:15:17,-20.2333,164.0167,82.35,76,100,14.36
266,Waipawa,NZ,2022-03-01 19:15:17,-41.4122,175.5153,56.44,91,96,11.97
267,Lesosibirsk,RU,2022-03-01 19:15:18,58.2358,92.4828,21.4,94,100,10.98
268,Kommunisticheskiy,RU,2022-03-01 19:15:18,61.6789,64.4819,12.38,94,6,6.4
269,Beringovskiy,RU,2022-03-01 19:15:19,63.05,179.3167,21.65,96,100,4.59
270,Malatya,TR,2022-03-01 19:11:11,38.5,38.0,37.45,100,100,3.44
271,Itoman,JP,2022-03-01 19:10:29,26.1247,127.6694,68.77,92,75,9.22
272,Oussouye,SN,2022-03-01 19:15:20,12.485,-16.5469,87.98,50,0,14.7
273,Norman Wells,CA,2022-03-01 19:10:32,65.282,-126.8329,-4.04,92,29,11.43
274,Pangkalanbuun,ID,2022-03-01 19:15:20,-2.6833,111.6167,73.69,98,26,3.11
275,Northam,GB,2022-03-01 19:15:21,51.0333,-4.2167,47.3,95,100,18.37
276,Stornoway,GB,2022-03-01 19:15:21,58.2093,-6.3865,40.93,82,20,5.75
277,Mogadishu,SO,2022-03-01 19:15:22,2.0371,45.3438,79.0,78,5,19.84
278,Tete,MZ,2022-03-01 19:16:42,-16.1564,33.5867,80.69,65,20,8.05
